id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
31,78383.0,78383.0,78383.0,78383.0,78383.0,78383.0,78383.0,78383.0,78383.0,78383.0,78383.0,78383.0,78383.0,78383.0,78383.0,78383.0,78383.0,78383.0,78383.0,78383.0,78383.0,78383.0,78383.0,78383.0,75948.0,75948.0,75948.0,75948.0,75948.0,75948.0,75948.0,75948.0,75948.0,75948.0,75948.0,75948.0,75948.0,75948.0,75948.0,75948.0,75948.0,75948.0,75948.0,75948.0,75948.0,75948.0,75948.0,75948.0
32,27089.0,27089.0,27089.0,27089.0,27089.0,27089.0,27089.0,27089.0,27089.0,27089.0,27089.0,27089.0,27089.0,27089.0,27089.0,27089.0,27089.0,27089.0,27089.0,27089.0,27089.0,27089.0,27089.0,27089.0,26054.0,26054.0,26054.0,26054.0,26054.0,26054.0,26054.0,26054.0,26054.0,26054.0,26054.0,26054.0,26054.0,26054.0,26054.0,26054.0,26054.0,26054.0,26054.0,26054.0,26054.0,26054.0,26054.0,26054.0
33,70252.0,70252.0,70252.0,70252.0,70252.0,70252.0,70252.0,70252.0,70252.0,70252.0,70252.0,70252.0,70252.0,70252.0,70252.0,70252.0,70252.0,70252.0,70252.0,70252.0,70252.0,70252.0,70252.0,70252.0,66698.0,66698.0,66698.0,66698.0,66698.0,66698.0,66698.0,66698.0,66698.0,66698.0,66698.0,66698.0,66698.0,66698.0,66698.0,66698.0,66698.0,66698.0,66698.0,66698.0,66698.0,66698.0,66698.0,66698.0
34,47249.0,47249.0,47249.0,47249.0,47249.0,47249.0,47249.0,47249.0,47249.0,47249.0,47249.0,47249.0,47249.0,47249.0,47249.0,47249.0,47249.0,47249.0,47249.0,47249.0,47249.0,47249.0,47249.0,47249.0,49722.0,49722.0,49722.0,49722.0,49722.0,49722.0,49722.0,49722.0,49722.0,49722.0,49722.0,49722.0,49722.0,49722.0,49722.0,49722.0,49722.0,49722.0,49722.0,49722.0,49722.0,49722.0,49722.0,49722.0
35,392236.0,392236.0,392236.0,392236.0,392236.0,392236.0,392236.0,392236.0,392236.0,392236.0,392236.0,392236.0,392236.0,392236.0,392236.0,392236.0,392236.0,392236.0,392236.0,392236.0,392236.0,392236.0,392236.0,392236.0,447839.0,447839.0,447839.0,447839.0,447839.0,447839.0,447839.0,447839.0,447839.0,447839.0,447839.0,447839.0,447839.0,447839.0,447839.0,447839.0,447839.0,447839.0,447839.0,447839.0,447839.0,447839.0,447839.0,447839.0
36,116837.0,116837.0,116837.0,116837.0,116837.0,116837.0,116837.0,116837.0,116837.0,116837.0,116837.0,116837.0,116837.0,116837.0,116837.0,116837.0,116837.0,116837.0,116837.0,116837.0,116837.0,116837.0,116837.0,116837.0,108490.0,108490.0,108490.0,108490.0,108490.0,108490.0,108490.0,108490.0,108490.0,108490.0,108490.0,108490.0,108490.0,108490.0,108490.0,108490.0,108490.0,108490.0,108490.0,108490.0,108490.0,108490.0,108490.0,108490.0
37,85238.0,85238.0,85238.0,85238.0,85238.0,85238.0,85238.0,85238.0,85238.0,85238.0,85238.0,85238.0,85238.0,85238.0,85238.0,85238.0,85238.0,85238.0,85238.0,85238.0,85238.0,85238.0,85238.0,85238.0,83520.0,83520.0,83520.0,83520.0,83520.0,83520.0,83520.0,83520.0,83520.0,83520.0,83520.0,83520.0,83520.0,83520.0,83520.0,83520.0,83520.0,83520.0,83520.0,83520.0,83520.0,83520.0,83520.0,83520.0
38,59240.0,59240.0,59240.0,59240.0,59240.0,59240.0,59240.0,59240.0,59240.0,59240.0,59240.0,59240.0,59240.0,59240.0,59240.0,59240.0,59240.0,59240.0,59240.0,59240.0,59240.0,59240.0,59240.0,59240.0,56316.0,56316.0,56316.0,56316.0,56316.0,56316.0,56316.0,56316.0,56316.0,56316.0,56316.0,56316.0,56316.0,56316.0,56316.0,56316.0,56316.0,56316.0,56316.0,56316.0,56316.0,56316.0,56316.0,56316.0
39,44325.0,44325.0,44325.0,44325.0,44325.0,44325.0,44325.0,44325.0,44325.0,44325.0,44325.0,44325.0,44325.0,44325.0,44325.0,44325.0,44325.0,44325.0,44325.0,44325.0,44325.0,44325.0,44325.0,44325.0,44537.0,44537.0,44537.0,44537.0,44537.0,44537.0,44537.0,44537.0,44537.0,44537.0,44537.0,44537.0,44537.0,44537.0,44537.0,44537.0,44537.0,44537.0,44537.0,44537.0,44537.0,44537.0,44537.0,44537.0
40,36311.0,36311.0,36311.0,36311.0,36311.0,36311.0,36311.0,36311.0,36311.0,36311.0,36311.0,36311.0,36311.0,36311.0,36311.0,36311.0,36311.0,36311.0,36311.0,36311.0,36311.0,36311.0,36311.0,36311.0,35549.0,35549.0,35549.0,35549.0,35549.0,35549.0,35549.0,35549.0,35549.0,35549.0,35549.0,35549.0,35549.0,35549.0,35549.0,35549.0,35549.0,35549.0,35549.0,35549.0,35549.0,35549.0,35549.0,35549.0
41,46786.0,46786.0,46786.0,46786.0,46786.0,46786.0,46786.0,46786.0,46786.0,46786.0,46786.0,46786.0,46786.0,46786.0,46786.0,46786.0,46786.0,46786.0,46786.0,46786.0,46786.0,46786.0,46786.0,46786.0,47004.0,47004.0,47004.0,47004.0,47004.0,47004.0,47004.0,47004.0,47004.0,47004.0,47004.0,47004.0,47004.0,47004.0,47004.0,47004.0,47004.0,47004.0,47004.0,47004.0,47004.0,47004.0,47004.0,47004.0
42,15606.0,15606.0,15606.0,15606.0,15606.0,15606.0,15606.0,15606.0,15606.0,15606.0,15606.0,15606.0,15606.0,15606.0,15606.0,15606.0,15606.0,15606.0,15606.0,15606.0,15606.0,15606.0,15606.0,15606.0,16293.0,16293.0,16293.0,16293.0,16293.0,16293.0,16293.0,16293.0,16293.0,16293.0,16293.0,16293.0,16293.0,16293.0,16293.0,16293.0,16293.0,16293.0,16293.0,16293.0,16293.0,16293.0,16293.0,16293.0
43,154574.0,154574.0,154574.0,154574.0,154574.0,154574.0,154574.0,154574.0,154574.0,154574.0,154574.0,154574.0,154574.0,154574.0,154574.0,154574.0,154574.0,154574.0,154574.0,154574.0,154574.0,154574.0,154574.0,154574.0,158319.0,158319.0,158319.0,158319.0,158319.0,158319.0,158319.0,158319.0,158319.0,158319.0,158319.0,158319.0,158319.0,158319.0,158319.0,158319.0,158319.0,158319.0,158319.0,158319.0,158319.0,158319.0,158319.0,158319.0
44,90305.0,90305.0,90305.0,90305.0,90305.0,90305.0,90305.0,90305.0,90305.0,90305.0,90305.0,90305.0,90305.0,90305.0,90305.0,90305.0,90305.0,90305.0,90305.0,90305.0,90305.0,90305.0,90305.0,90305.0,86602.0,86602.0,86602.0,86602.0,86602.0,86602.0,86602.0,86602.0,86602.0,86602.0,86602.0,86602.0,86602.0,86602.0,86602.0,86602.0,86602.0,86602.0,86602.0,86602.0,86602.0,86602.0,86602.0,86602.0
45,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,54797.0,54797.0,54797.0,54797.0,54797.0,54797.0,54797.0,54797.0,54797.0,54797.0,54797.0,54797.0,54797.0,54797.0,54797.0,54797.0,54797.0,54797.0,54797.0,54797.0,54797.0,54797.0,54797.0,54797.0
46,42711.0,42711.0,42711.0,42711.0,42711.0,42711.0,42711.0,42711.0,42711.0,42711.0,42711.0,42711.0,42711.0,42711.0,42711.0,42711.0,42711.0,42711.0,42711.0,42711.0,42711.0,42711.0,42711.0,42711.0,34117.0,34117.0,34117.0,34117.0,34117.0,34117.0,34117.0,34117.0,34117.0,34117.0,34117.0,34117.0,34117.0,34117.0,34117.0,34117.0,34117.0,34117.0,34117.0,34117.0,34117.0,34117.0,34117.0,34117.0
47,102130.0,102130.0,102130.0,102130.0,102130.0,102130.0,102130.0,102130.0,102130.0,102130.0,102130.0,102130.0,102130.0,102130.0,102130.0,102130.0,102130.0,102130.0,102130.0,102130.0,102130.0,102130.0,102130.0,102130.0,108023.0,108023.0,108023.0,108023.0,108023.0,108023.0,108023.0,108023.0,108023.0,108023.0,108023.0,108023.0,108023.0,108023.0,108023.0,108023.0,108023.0,108023.0,108023.0,108023.0,108023.0,108023.0,108023.0,108023.0
48,98896.0,98896.0,98896.0,98896.0,98896.0,98896.0,98896.0,98896.0,98896.0,98896.0,98896.0,98896.0,98896.0,98896.0,98896.0,98896.0,98896.0,98896.0,98896.0,98896.0,98896.0,98896.0,98896.0,98896.0,101744.0,101744.0,101744.0,101744.0,101744.0,101744.0,101744.0,101744.0,101744.0,101744.0,101744.0,101744.0,101744.0,101744.0,101744.0,101744.0,101744.0,101744.0,101744.0,101744.0,101744.0,101744.0,101744.0,101744.0
49,115490.0,115490.0,115490.0,115490.0,115490.0,115490.0,115490.0,115490.0,115490.0,115490.0,115490.0,115490.0,115490.0,115490.0,115490.0,115490.0,115490.0,115490.0,115490.0,115490.0,115490.0,115490.0,115490.0,115490.0,112775.0,112775.0,112775.0,112775.0,112775.0,112775.0,112775.0,112775.0,112775.0,112775.0,112775.0,112775.0,112775.0,112775.0,112775.0,112775.0,112775.0,112775.0,112775.0,112775.0,112775.0,112775.0,112775.0,112775.0
50,64853.0,64853.0,64853.0,64853.0,64853.0,64853.0,64853.0,64853.0,64853.0,64853.0,64853.0,64853.0,64853.0,64853.0,64853.0,64853.0,64853.0,64853.0,64853.0,64853.0,64853.0,64853.0,64853.0,64853.0,60860.0,60860.0,60860.0,60860.0,60860.0,60860.0,60860.0,60860.0,60860.0,60860.0,60860.0,60860.0,60860.0,60860.0,60860.0,60860.0,60860.0,60860.0,60860.0,60860.0,60860.0,60860.0,60860.0,60860.0
51,84286.0,84286.0,84286.0,84286.0,84286.0,84286.0,84286.0,84286.0,84286.0,84286.0,84286.0,84286.0,84286.0,84286.0,84286.0,84286.0,84286.0,84286.0,84286.0,84286.0,84286.0,84286.0,84286.0,84286.0,83553.0,83553.0,83553.0,83553.0,83553.0,83553.0,83553.0,83553.0,83553.0,83553.0,83553.0,83553.0,83553.0,83553.0,83553.0,83553.0,83553.0,83553.0,83553.0,83553.0,83553.0,83553.0,83553.0,83553.0
