Name,TrialNumber,TestType,GivenValue,ActualValue,ReportedValue,Old,New,,,,,,,,
IE,36,Brightness,46,49,48,0.673636504,0.994701891,,,,,,,,
IE,37,Brightness,76,69,76,0,1.022821069,,,,,,,,
IE,38,Brightness,70,23,20,1.125572159,0.955425865,,,,,,,,
IE,39,Length,87,66,80,0.30363967,1.04591593,,,,,,,,
IE,40,Length,25,66,54,0.793288985,0.952103286,,,,,,,,
DF,1,Length,97,31,40,0.776552172,1.074226325,,,,,,,,
DF,2,Brightness,18,54,70,1.23621727,1.065056965,,,,,,,,
DF,3,Brightness,24,86,60,0.717931069,0.919179464,,,,,,,,
DF,4,Velocity,55,53,54,0.495370106,1.004708,,,,,,,,
DF,5,Area,53,2,2,1,1,,,,,,,,
DF,6,Area,6,52,40,0.878506053,0.933599574,,,,,,,,
DF,7,Velocity,23,7,20,0.117488075,1.53950185,,,,,,,,
DF,8,Area,36,2,1,1.239812467,0,,,,,,,,
DF,9,Area,79,21,30,0.730796209,1.117153002,,,,,,,,
DF,10,Length,56,34,40,0.674304997,1.046086873,,,,,,,,
DF,11,Brightness,41,38,41,0,1.020889102,,,,,,,,
DF,12,Brightness,18,86,80,0.953758445,0.983764027,,,,,,,,
DF,13,Length,45,16,20,0.784209252,1.080482024,,,,,,,,
DF,14,Brightness,73,65,73,0,1.027805798,,,,,,,,
DF,15,Brightness,9,55,50,0.947345602,0.976216058,,,,,,,,
DF,16,Length,12,62,60,0.980033328,0.992055063,,,,,,,,
DF,17,Brightness,32,81,60,0.676859793,0.931708257,,,,,,,,
DF,18,Area,98,18,20,0.937825574,1.036452237,,,,,,,,
DF,19,Brightness,81,98,86,0.314395699,0.971511209,,,,,,,,
DF,20,Length,26,88,70,0.81230806,0.948888908,,,,,,,,
DF,21,Velocity,39,42,40,0.341634068,0.986946368,,,,,,,,
DF,22,Brightness,25,75,58,0.766027464,0.940464201,,,,,,,,
DF,23,Brightness,94,52,45,1.244203985,0.963408679,,,,,,,,
DF,24,Length,58,24,23,1.048232249,0.986608278,,,,,,,,
DF,25,Area,14,53,35,0.688301478,0.895487823,,,,,,,,
DF,26,Length,78,78,78,0,1,,,,,,,,
DF,27,Velocity,67,87,75,0.431810113,0.966765997,,,,,,,,
DF,28,Velocity,95,30,20,1.351758754,0.88078754,,,,,,,,
DF,29,Area,40,9,10,0.929366694,1.047951637,,,,,,,,
DF,30,Area,2,15,10,0.798766936,0.850274154,,,,,,,,
DF,31,Length,27,68,53,0.730189824,0.940937235,,,,,,,,
DF,32,Velocity,96,83,90,0.443540601,1.018323599,,,,,,,,
DF,33,Velocity,37,49,40,0.277539621,0.947854518,,,,,,,,
DF,34,Velocity,97,27,30,0.917614631,1.031967758,,,,,,,,
DF,35,Length,51,17,18,0.94797217,1.020174412,,,,,,,,
DF,36,Length,41,18,20,0.872011083,1.036452237,,,,,,,,
DF,37,Area,48,19,22,0.841811092,1.049789952,,,,,,,,
DF,38,Velocity,89,70,75,0.712698645,1.016239367,,,,,,,,
